,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID
100,Benton,Richland,99354,2020,NISSAN,LEAF,215,8.0,POINT (-119.26844 46.31484),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),BEV,Y,Mid,neel.vernekar@example.com
107,Chelan,Wenatchee,98801,2019,VOLKSWAGEN,E-GOLF,125,12.0,POINT (-120.30522 47.41494),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Mid,albano.araujo@example.com
128,King,Renton,98059,2017,TOYOTA,PRIUS PRIME,25,5.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,kaya.baykam@example.com
131,Clark,Camas,98607,2018,BMW,I3,97,18.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,malthe.rasmussen@example.com
138,Benton,Kennewick,99338,2013,TOYOTA,PRIUS PLUG-IN,6,8.0,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,N,Low,lana.cavalcanti@example.com
142,Spokane,Spokane,99205,2019,TESLA,MODEL 3,220,3.0,POINT (-117.45674 47.69963),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,BEV,Y,Mid,omur.erez@example.com
146,Thurston,Olympia,98502,2018,VOLKSWAGEN,E-GOLF,125,35.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,BEV,Y,Mid,khwrwsh.kmyrn@example.com
149,Snohomish,Bothell,98012,2016,VOLKSWAGEN,E-GOLF,83,1.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,BEV,Y,Low,keira.walker@example.com
150,King,Burien,98166,2019,TESLA,MODEL X,289,34.0,POINT (-122.34118 47.46665),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,lucille.lane@example.com
153,Pierce,Tacoma,98402,2017,CHEVROLET,BOLT EV,238,27.0,POINT (-122.44164 47.25517),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,andrijana.mitrovic@example.com
158,Clark,Battle Ground,98604,2022,VOLVO,XC60,18,18.0,POINT (-122.5331 45.78092),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,begum.kormukcu@example.com
187,Clark,Woodland,98674,2021,JEEP,WRANGLER,25,20.0,POINT (-122.74017 45.9094),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,ava.bouchard@example.com
189,Pierce,South Hill,98373,2013,CHEVROLET,VOLT,38,25.0,POINT (-122.35051 47.15252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,eemil.kumpula@example.com
214,San Juan,Friday Harbor,98250,2021,BMW,X3,17,40.0,POINT (-123.01648 48.53448),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,N,Low,aadi.bhat@example.com
216,Clark,Camas,98607,2019,MINI,COUNTRYMAN,12,18.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,vicente.reyes@example.com
218,Pierce,Puyallup,98373,2022,JEEP,WRANGLER,21,25.0,POINT (-122.35051 47.15252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,drs.shylyrd@example.com
219,Whatcom,Point Roberts,98281,2018,TOYOTA,PRIUS PRIME,25,42.0,POINT (-123.05688 48.98867),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,alberte.mortensen@example.com
229,King,Mercer Island,98040,2022,CHRYSLER,PACIFICA,32,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,zorepad.chornokondratenko@example.com
232,Benton,Richland,99354,2021,VOLVO,S60,22,8.0,POINT (-119.26844 46.31484),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),PHEV,N,Low,emilie.madsen@example.com
233,Snohomish,Everett,98204,2017,CHEVROLET,VOLT,53,38.0,POINT (-122.25527 47.90456),PUGET SOUND ENERGY INC,PHEV,Y,Low,leonaura.ferreira@example.com
238,King,Woodinville,98077,2020,TESLA,MODEL 3,266,45.0,POINT (-122.07479 47.75264),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,warner.stolwijk@example.com
239,Cowlitz,Castle Rock,98611,2018,TOYOTA,PRIUS PRIME,25,20.0,POINT (-122.90724 46.27509),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,PHEV,N,Low,franklin.harper@example.com
240,Snohomish,Woodinville,98072,2018,NISSAN,LEAF,151,1.0,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC,BEV,Y,Mid,emma.howard@example.com
241,Whatcom,Blaine,98230,2015,SMART,FORTWO ELECTRIC DRIVE,68,42.0,POINT (-122.74888 48.99404),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,BEV,Y,Low,bilotur.gasin@example.com
243,King,Seattle,98118,2017,FORD,FUSION,21,37.0,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,umut.atakol@example.com
244,King,Auburn,98002,2022,BMW,X5,30,47.0,POINT (-122.21698 47.28317),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,rene.hale@example.com
251,King,Seattle,98108,2022,VOLVO,S60,22,11.0,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,hotyan.kosenko@example.com
252,Spokane,Spokane,99202,2017,TESLA,MODEL 3,220,3.0,POINT (-117.3797 47.65548),MODERN ELECTRIC WATER COMPANY,BEV,Y,Mid,alexander.arias@example.com
253,Lewis,Morton,98356,2014,FIAT,500,87,20.0,POINT (-122.27511 46.55465),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,BEV,Y,Low,swgnd.sdr@example.com
260,King,Kirkland,98034,2022,JEEP,GRAND CHEROKEE,25,45.0,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,mya.dupuis@example.com
262,King,Seattle,98178,2014,BMW,I3,72,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,mathis.singh@example.com
269,Snohomish,Everett,98201,2021,TOYOTA,RAV4 PRIME,42,38.0,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,PHEV,Y,Low,flavio.saldivar@example.com
271,Clark,Vancouver,98686,2020,TESLA,MODEL Y,291,49.0,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,ozkan.besok@example.com
282,King,Issaquah,98027,2012,TOYOTA,PRIUS PLUG-IN,6,5.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,luka.malinovska@example.com
287,Pierce,Tacoma,98406,2017,FORD,FUSION,21,27.0,POINT (-122.52054 47.26887),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,maxime.aubert@example.com
291,King,Kent,98030,2012,TOYOTA,PRIUS PLUG-IN,6,33.0,POINT (-122.19564 47.37271),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,joseph.cooper@example.com
293,King,Seattle,98136,2022,KIA,SORENTO,32,34.0,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,niilo.nurmi@example.com
295,King,Seattle,98199,2019,SUBARU,CROSSTREK,17,36.0,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,afsar.cevik@example.com
301,Thurston,Olympia,98503,2019,KIA,NIRO,26,2.0,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,PHEV,N,Low,heinz-werner.muhl@example.com
305,King,Renton,98055,2017,KIA,SOUL EV,93,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,luigi.jean@example.com
319,King,Bellevue,98008,2015,SMART,FORTWO ELECTRIC DRIVE,68,48.0,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,menthe.vanhilten@example.com
320,Douglas,Orondo,98843,2021,TOYOTA,PRIUS PRIME,25,12.0,POINT (-120.22795 47.62352),PUD NO 1 OF DOUGLAS COUNTY,PHEV,N,Low,carlos.ortiz@example.com
325,Pierce,South Hill,98374,2014,CHEVROLET,VOLT,38,25.0,POINT (-122.28449 47.146),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,nella.neva@example.com
329,Kitsap,Port Orchard,98366,2020,HYUNDAI,IONIQ,170,26.0,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,BEV,Y,Mid,jaxon.lewis@example.com
330,Benton,Grandview,98930,2017,BMW,I3,97,16.0,POINT (-119.90123 46.25606),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,Y,Low,grace.walters@example.com
337,Yakima,Zillah,98953,2020,TESLA,MODEL 3,322,15.0,POINT (-120.26186 46.40186),PACIFICORP,BEV,Y,High,th.rdyy@example.com
349,Klickitat,White Salmon,98672,2018,NISSAN,LEAF,151,14.0,POINT (-121.48704 45.72776),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,BEV,Y,Mid,pooja.saldanha@example.com
357,King,Bellevue,98004,2020,CHRYSLER,PACIFICA,32,41.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,luukas.arola@example.com
363,King,Snoqualmie,98024,2014,FORD,FUSION,19,5.0,POINT (-121.89086 47.56812),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,ekapad.keshri@example.com
367,King,Seattle,98103,2017,TESLA,MODEL 3,220,36.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,nora.legrand@example.com
368,Chelan,Peshastin,98847,2017,CHEVROLET,VOLT,53,12.0,POINT (-120.60364 47.56805),PUD NO 1 OF CHELAN COUNTY,PHEV,Y,Low,todd.bradley@example.com
381,Clark,Vancouver,98663,2020,HYUNDAI,KONA,258,49.0,POINT (-122.64695 45.65675),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,joe.newman@example.com
395,Spokane,Spokane,99224,2015,FORD,FUSION,19,6.0,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,PHEV,N,Low,cleo.roux@example.com
404,Spokane,Greenacres,99016,2015,FORD,FUSION,19,4.0,POINT (-117.1748 47.65699),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,annabelle.cooper@example.com
409,King,Kirkland,98033,2018,KIA,SOUL EV,111,45.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,stanislava.kuzmanovic@example.com
412,King,Bellevue,98008,2020,BMW,I3,126,48.0,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Mid,glen.gilbert@example.com
418,Lewis,Chehalis,98532,2018,CHEVROLET,VOLT,53,20.0,POINT (-122.96462 46.6621),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,PHEV,Y,Low,mathieu.hartmans@example.com
432,King,Kent,98058,2018,HONDA,CLARITY,47,47.0,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,boavida.novaes@example.com
433,Skagit,Anacortes,98221,2017,TESLA,MODEL X,200,40.0,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,BEV,Y,Mid,marie.reynolds@example.com
435,King,Bothell,98011,2017,BMW,I3,97,1.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,cemil.hohmann@example.com
446,Spokane,Spokane,99224,2017,TESLA,MODEL X,200,6.0,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,BEV,Y,Mid,mariana.roux@example.com
456,King,Redmond,98052,2019,HYUNDAI,IONIQ,29,48.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,N,Low,eugenio.castro@example.com
480,King,Bellevue,98004,2021,FORD,ESCAPE,38,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,naomie.vanderluit@example.com
487,Kitsap,Seabeck,98380,2016,FORD,FUSION,19,35.0,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,PHEV,N,Low,lakshit.dawangave@example.com
492,King,Mercer Island,98040,2013,SMART,FORTWO ELECTRIC DRIVE,68,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,concepcion.marin@example.com
499,Thurston,Olympia,98512,2015,VOLKSWAGEN,E-GOLF,83,35.0,POINT (-122.92057 47.0031),PUGET SOUND ENERGY INC,BEV,Y,Low,sheryl.barnes@example.com
511,Benton,Richland,99352,2018,NISSAN,LEAF,151,8.0,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),BEV,Y,Mid,sham.osland@example.com
514,King,Seattle,98178,2022,JEEP,WRANGLER,21,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,marko.vuksanovic@example.com
518,Thurston,Olympia,98501,2020,TESLA,MODEL X,289,35.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,BEV,Y,High,olivia.belanger@example.com
525,Snohomish,Lynnwood,98036,2022,JEEP,WRANGLER,21,21.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,PHEV,N,Low,abeer.dsouza@example.com
536,King,Federal Way,98023,2021,MINI,HARDTOP,110,30.0,POINT (-122.35206 47.30297),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,duro.erceg@example.com
556,King,Auburn,98092,2018,FORD,FUSION,21,31.0,POINT (-122.17663 47.32326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,nicole.silva@example.com
563,Yakima,Yakima,98908,2022,BMW,X5,30,14.0,POINT (-120.56916 46.58514),PACIFICORP,PHEV,Y,Low,khymy.prs@example.com
568,Thurston,Olympia,98516,2021,JEEP,WRANGLER,25,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,PHEV,N,Low,noemie.fournier@example.com
570,King,Bellevue,98007,2022,VOLVO,S60,41,48.0,POINT (-122.12053 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,nyysh.prs@example.com
578,King,Renton,98059,2016,KIA,SOUL,93,5.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,frida.olsen@example.com
587,Pierce,Tacoma,98444,2018,TESLA,MODEL 3,215,29.0,POINT (-122.46495 47.16778),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,BEV,Y,Mid,mariacristina.ceja@example.com
597,Snohomish,Arlington,98223,2022,VOLVO,XC60,18,38.0,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,PHEV,N,Low,bernt.bell@example.com
613,King,Seattle,98168,2017,TESLA,MODEL X,200,34.0,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,ilona.waisanen@example.com
621,King,Seattle,98102,2019,MITSUBISHI,OUTLANDER,22,43.0,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,malthe.rasmussen@example.com
623,Clark,Yacolt,98675,2020,TESLA,MODEL X,289,14.0,POINT (-122.40908 45.86679),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,hilaria.nogueira@example.com
632,King,Seattle,98107,2017,VOLKSWAGEN,E-GOLF,125,43.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,megan.liu@example.com
637,Snohomish,Everett,98204,2014,FORD,FUSION,19,21.0,POINT (-122.25527 47.90456),PUGET SOUND ENERGY INC,PHEV,N,Low,younes.eidem@example.com
641,King,Medina,98039,2019,VOLVO,XC60,17,48.0,POINT (-122.23892 47.61613),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,debbie.ray@example.com
649,Whatcom,Acme,98220,2016,FORD,C-MAX,19,42.0,POINT (-122.20348 48.71768),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,jon.morrison@example.com
651,Adams,Ritzville,99169,2017,BMW,I3,97,9.0,POINT (-118.37977 47.1274),"BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||BIG BEND ELECTRIC COOP, INC",PHEV,Y,Low,aatu.remes@example.com
668,King,Bellevue,98004,2017,CHEVROLET,BOLT EV,238,41.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,sophia.kampf@example.com
673,King,Black Diamond,98010,2019,VOLKSWAGEN,E-GOLF,125,5.0,POINT (-122.00143 47.30893),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,irina.dudar@example.com
676,King,Seattle,98112,2016,TESLA,MODEL S,210,37.0,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,samuel.lira@example.com
678,Pierce,Puyallup,98372,2013,FIAT,500,87,25.0,POINT (-122.28556 47.18709),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,mlyn.aalyzdh@example.com
680,Pierce,Bonney Lake,98391,2020,TOYOTA,PRIUS PRIME,25,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,edita.moshak@example.com
683,Mason,Tahuya,98588,2017,CHEVROLET,VOLT,53,35.0,POINT (-123.04061 47.37733),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,Y,Low,annaliese.zellner@example.com
684,Pierce,Fox Island,98333,2018,TESLA,MODEL S,249,26.0,POINT (-122.65107 47.27375),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,fiona.reid@example.com
691,King,Seattle,98101,2018,PORSCHE,CAYENNE,14,43.0,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,camille.li@example.com
692,Clark,Vancouver,98683,2015,CHEVROLET,VOLT,38,18.0,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,lily.walker@example.com
711,Yakima,Moxee,98936,2020,CHEVROLET,BOLT EV,259,15.0,POINT (-120.39197 46.55621),PACIFICORP,BEV,Y,High,gopal.shetty@example.com
714,Spokane,Spokane,99224,2019,TOYOTA,PRIUS PRIME,25,6.0,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,PHEV,N,Low,tore.brunstad@example.com
717,Cowlitz,Castle Rock,98611,2021,CHRYSLER,PACIFICA,32,19.0,POINT (-122.90724 46.27509),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,PHEV,Y,Low,adner.carvalho@example.com
718,Pierce,Lake Tapps,98391,2014,TOYOTA,RAV4,103,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,tyrone.willis@example.com
723,Snohomish,Lynnwood,98036,2015,CHEVROLET,SPARK,82,32.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,BEV,Y,Low,carl.poulsen@example.com
735,Snohomish,Stanwood,98292,2017,PORSCHE,CAYENNE,14,10.0,POINT (-122.37265 48.24159),PUGET SOUND ENERGY INC,PHEV,N,Low,alfons.garcia@example.com
738,King,Mercer Island,98040,2021,LINCOLN,AVIATOR,21,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,theo.slawa@example.com
740,Pierce,Spanaway,98387,2021,TOYOTA,RAV4 PRIME,42,28.0,POINT (-122.41046 47.06512),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,mathilda.holtan@example.com
742,Clark,Vancouver,98664,2014,BMW,I3,72,49.0,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,macit.erdogan@example.com
745,King,Seattle,98178,2020,TESLA,MODEL Y,291,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,High,stanislava.kuzmanovic@example.com
747,Spokane,Spokane,99218,2019,FORD,FUSION,26,7.0,POINT (-117.4077 47.74527),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,rose.carpentier@example.com
748,King,Renton,98056,2015,FORD,C-MAX,19,11.0,POINT (-122.18463 47.49929),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,sanchitha.kini@example.com
751,King,Auburn,98002,2014,CHEVROLET,VOLT,38,30.0,POINT (-122.21698 47.28317),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,alexandra.sullivan@example.com
754,King,Bothell,98011,2017,BMW,X5,14,1.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,lucas.walker@example.com
756,Snohomish,Arlington,98223,2019,VOLKSWAGEN,E-GOLF,125,39.0,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,BEV,Y,Mid,katarina.simic@example.com
767,King,Seattle,98107,2016,KIA,SOUL,93,43.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Low,yann.perez@example.com
773,Chelan,Leavenworth,98826,2014,NISSAN,LEAF,84,12.0,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Low,amalie.andersen@example.com
