,County,City,Postal_Code,Model_Year,Make,Model,Electric_Range,Legislative_District,Vehicle_Location,Electric_Utility,Vehicle_Type,CAFV_Eligibility,Electric_Range_Category,VID,email,gender,dob.age
17,Spokane,Airway Heights,99001,2020,CHRYSLER,PACIFICA,32,6.0,POINT (-117.59311 47.6443),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,Y,Low,connor.spencer@example.com,connor.spencer@example.com,male,32
18,Thurston,Tumwater,98501,2018,HONDA,CLARITY,47,35.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,PHEV,Y,Low,ken.mcdonalid@example.com,ken.mcdonalid@example.com,male,60
19,Chelan,Entiat,98822,2019,TESLA,MODEL 3,220,12.0,POINT (-120.20831 47.67562),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Mid,orinder.mardhekar@example.com,orinder.mardhekar@example.com,male,46
20,King,Seattle,98107,2020,PORSCHE,TAYCAN,203,36.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,magdalena.santos@example.com,magdalena.santos@example.com,female,27
21,Benton,Richland,99354,2020,NISSAN,LEAF,215,8.0,POINT (-119.26844 46.31484),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),BEV,Y,Mid,milorad.zivadinovic@example.com,milorad.zivadinovic@example.com,male,24
22,Chelan,Wenatchee,98801,2019,VOLKSWAGEN,E-GOLF,125,12.0,POINT (-120.30522 47.41494),PUD NO 1 OF CHELAN COUNTY,BEV,Y,Mid,vlast.guliy@example.com,vlast.guliy@example.com,male,34
23,King,Renton,98059,2017,TOYOTA,PRIUS PRIME,25,5.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,cvitana.vorobec@example.com,cvitana.vorobec@example.com,female,66
24,Clark,Camas,98607,2018,BMW,I3,97,18.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,Y,Low,bayram.tischler@example.com,bayram.tischler@example.com,male,27
25,Benton,Kennewick,99338,2013,TOYOTA,PRIUS PLUG-IN,6,8.0,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,N,Low,zdenka.heidemann@example.com,zdenka.heidemann@example.com,female,61
26,Spokane,Spokane,99205,2019,TESLA,MODEL 3,220,3.0,POINT (-117.45674 47.69963),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,BEV,Y,Mid,aubree.walker@example.com,aubree.walker@example.com,female,74
27,Thurston,Olympia,98502,2018,VOLKSWAGEN,E-GOLF,125,35.0,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,BEV,Y,Mid,jose.alonso@example.com,jose.alonso@example.com,male,31
28,Snohomish,Bothell,98012,2016,VOLKSWAGEN,E-GOLF,83,1.0,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,BEV,Y,Low,vebjorn.haarberg@example.com,vebjorn.haarberg@example.com,male,52
29,King,Burien,98166,2019,TESLA,MODEL X,289,34.0,POINT (-122.34118 47.46665),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,catherine.porter@example.com,catherine.porter@example.com,female,58
30,Pierce,Tacoma,98402,2017,CHEVROLET,BOLT EV,238,27.0,POINT (-122.44164 47.25517),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,olivia.robinson@example.com,olivia.robinson@example.com,female,38
31,Clark,Battle Ground,98604,2022,VOLVO,XC60,18,18.0,POINT (-122.5331 45.78092),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,louis.white@example.com,louis.white@example.com,male,59
32,Clark,Woodland,98674,2021,JEEP,WRANGLER,25,20.0,POINT (-122.74017 45.9094),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,apollonia.schwarz@example.com,apollonia.schwarz@example.com,female,69
33,Pierce,South Hill,98373,2013,CHEVROLET,VOLT,38,25.0,POINT (-122.35051 47.15252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,angie.little@example.com,angie.little@example.com,female,52
34,San Juan,Friday Harbor,98250,2021,BMW,X3,17,40.0,POINT (-123.01648 48.53448),BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,PHEV,N,Low,lice.ramos@example.com,lice.ramos@example.com,female,70
35,Clark,Camas,98607,2019,MINI,COUNTRYMAN,12,18.0,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),PHEV,N,Low,agim.jean@example.com,agim.jean@example.com,male,23
36,Pierce,Puyallup,98373,2022,JEEP,WRANGLER,21,25.0,POINT (-122.35051 47.15252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,khyn.njty@example.com,khyn.njty@example.com,female,67
37,Whatcom,Point Roberts,98281,2018,TOYOTA,PRIUS PRIME,25,42.0,POINT (-123.05688 48.98867),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,debbie.baker@example.com,debbie.baker@example.com,female,56
38,King,Mercer Island,98040,2022,CHRYSLER,PACIFICA,32,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,timeo.girard@example.com,timeo.girard@example.com,male,53
39,Benton,Richland,99354,2021,VOLVO,S60,22,8.0,POINT (-119.26844 46.31484),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),PHEV,N,Low,alma.moreno@example.com,alma.moreno@example.com,female,46
40,Snohomish,Everett,98204,2017,CHEVROLET,VOLT,53,38.0,POINT (-122.25527 47.90456),PUGET SOUND ENERGY INC,PHEV,Y,Low,ruza.tasic@example.com,ruza.tasic@example.com,female,22
41,King,Woodinville,98077,2020,TESLA,MODEL 3,266,45.0,POINT (-122.07479 47.75264),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,High,snorre.fossdal@example.com,snorre.fossdal@example.com,male,76
42,Cowlitz,Castle Rock,98611,2018,TOYOTA,PRIUS PRIME,25,20.0,POINT (-122.90724 46.27509),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,PHEV,N,Low,alva.habbestad@example.com,alva.habbestad@example.com,female,38
43,Snohomish,Woodinville,98072,2018,NISSAN,LEAF,151,1.0,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC,BEV,Y,Mid,lene.brodahl@example.com,lene.brodahl@example.com,female,74
44,Whatcom,Blaine,98230,2015,SMART,FORTWO ELECTRIC DRIVE,68,42.0,POINT (-122.74888 48.99404),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,BEV,Y,Low,dalia.mascarenas@example.com,dalia.mascarenas@example.com,female,45
45,King,Seattle,98118,2017,FORD,FUSION,21,37.0,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,ayse.koc@example.com,ayse.koc@example.com,female,58
46,King,Auburn,98002,2022,BMW,X5,30,47.0,POINT (-122.21698 47.28317),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,mehmet.topcuoglu@example.com,mehmet.topcuoglu@example.com,male,64
47,King,Seattle,98108,2022,VOLVO,S60,22,11.0,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,vladan.pistalo@example.com,vladan.pistalo@example.com,male,39
48,Spokane,Spokane,99202,2017,TESLA,MODEL 3,220,3.0,POINT (-117.3797 47.65548),MODERN ELECTRIC WATER COMPANY,BEV,Y,Mid,sirin.beijer@example.com,sirin.beijer@example.com,female,35
49,Lewis,Morton,98356,2014,FIAT,500,87,20.0,POINT (-122.27511 46.55465),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,BEV,Y,Low,kasper.heikkila@example.com,kasper.heikkila@example.com,male,66
50,King,Kirkland,98034,2022,JEEP,GRAND CHEROKEE,25,45.0,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,deekshitha.gugale@example.com,deekshitha.gugale@example.com,female,78
51,King,Seattle,98178,2014,BMW,I3,72,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,ulku.yilmazer@example.com,ulku.yilmazer@example.com,female,77
52,Snohomish,Everett,98201,2021,TOYOTA,RAV4 PRIME,42,38.0,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,PHEV,Y,Low,umbelina.gomes@example.com,umbelina.gomes@example.com,female,66
53,Clark,Vancouver,98686,2020,TESLA,MODEL Y,291,49.0,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,hudson.wood@example.com,hudson.wood@example.com,male,56
54,King,Issaquah,98027,2012,TOYOTA,PRIUS PLUG-IN,6,5.0,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,hudson.cooper@example.com,hudson.cooper@example.com,male,32
55,Pierce,Tacoma,98406,2017,FORD,FUSION,21,27.0,POINT (-122.52054 47.26887),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,N,Low,victor.simpson@example.com,victor.simpson@example.com,male,76
56,King,Kent,98030,2012,TOYOTA,PRIUS PLUG-IN,6,33.0,POINT (-122.19564 47.37271),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,byt.aalyzdh@example.com,byt.aalyzdh@example.com,female,47
57,King,Seattle,98136,2022,KIA,SORENTO,32,34.0,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,Y,Low,marie.larsen@example.com,marie.larsen@example.com,female,57
58,King,Seattle,98199,2019,SUBARU,CROSSTREK,17,36.0,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,esma.nalbantoglu@example.com,esma.nalbantoglu@example.com,female,32
59,Thurston,Olympia,98503,2019,KIA,NIRO,26,2.0,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,PHEV,N,Low,sarah.wang@example.com,sarah.wang@example.com,female,49
60,King,Renton,98055,2017,KIA,SOUL EV,93,11.0,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,ethan.mellum@example.com,ethan.mellum@example.com,male,28
61,King,Bellevue,98008,2015,SMART,FORTWO ELECTRIC DRIVE,68,48.0,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,leokadia.wurm@example.com,leokadia.wurm@example.com,female,68
62,Douglas,Orondo,98843,2021,TOYOTA,PRIUS PRIME,25,12.0,POINT (-120.22795 47.62352),PUD NO 1 OF DOUGLAS COUNTY,PHEV,N,Low,rita.kayser@example.com,rita.kayser@example.com,female,49
63,Pierce,South Hill,98374,2014,CHEVROLET,VOLT,38,25.0,POINT (-122.28449 47.146),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,PHEV,Y,Low,anna.warren@example.com,anna.warren@example.com,female,64
64,Kitsap,Port Orchard,98366,2020,HYUNDAI,IONIQ,170,26.0,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,BEV,Y,Mid,topias.huhta@example.com,topias.huhta@example.com,male,61
65,Benton,Grandview,98930,2017,BMW,I3,97,16.0,POINT (-119.90123 46.25606),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,PHEV,Y,Low,alicia.montgomery@example.com,alicia.montgomery@example.com,female,64
66,Yakima,Zillah,98953,2020,TESLA,MODEL 3,322,15.0,POINT (-120.26186 46.40186),PACIFICORP,BEV,Y,High,zivojin.drljaca@example.com,zivojin.drljaca@example.com,male,45
67,Klickitat,White Salmon,98672,2018,NISSAN,LEAF,151,14.0,POINT (-121.48704 45.72776),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,BEV,Y,Mid,ellie.rhodes@example.com,ellie.rhodes@example.com,female,56
68,King,Bellevue,98004,2020,CHRYSLER,PACIFICA,32,41.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,anni.moilanen@example.com,anni.moilanen@example.com,female,58
69,King,Snoqualmie,98024,2014,FORD,FUSION,19,5.0,POINT (-121.89086 47.56812),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,emma.erkkila@example.com,emma.erkkila@example.com,female,64
70,King,Seattle,98103,2017,TESLA,MODEL 3,220,36.0,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,charles.peterson@example.com,charles.peterson@example.com,male,37
71,Chelan,Peshastin,98847,2017,CHEVROLET,VOLT,53,12.0,POINT (-120.60364 47.56805),PUD NO 1 OF CHELAN COUNTY,PHEV,Y,Low,baljiwan.adiga@example.com,baljiwan.adiga@example.com,male,28
72,Clark,Vancouver,98663,2020,HYUNDAI,KONA,258,49.0,POINT (-122.64695 45.65675),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,karen.sims@example.com,karen.sims@example.com,female,49
73,Spokane,Spokane,99224,2015,FORD,FUSION,19,6.0,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,PHEV,N,Low,hanne-lore.pauls@example.com,hanne-lore.pauls@example.com,female,40
74,Spokane,Greenacres,99016,2015,FORD,FUSION,19,4.0,POINT (-117.1748 47.65699),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,PHEV,N,Low,katia.muller@example.com,katia.muller@example.com,female,24
75,King,Kirkland,98033,2018,KIA,SOUL EV,111,45.0,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,arttu.raisanen@example.com,arttu.raisanen@example.com,male,22
76,King,Bellevue,98008,2020,BMW,I3,126,48.0,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Mid,tobias.christiansen@example.com,tobias.christiansen@example.com,male,77
77,Lewis,Chehalis,98532,2018,CHEVROLET,VOLT,53,20.0,POINT (-122.96462 46.6621),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,PHEV,Y,Low,querubim.silveira@example.com,querubim.silveira@example.com,male,63
78,King,Kent,98058,2018,HONDA,CLARITY,47,47.0,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,heidi.fabre@example.com,heidi.fabre@example.com,female,36
79,Skagit,Anacortes,98221,2017,TESLA,MODEL X,200,40.0,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,BEV,Y,Mid,georgia.walker@example.com,georgia.walker@example.com,female,23
80,King,Bothell,98011,2017,BMW,I3,97,1.0,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,frenky.wang@example.com,frenky.wang@example.com,male,70
81,Spokane,Spokane,99224,2017,TESLA,MODEL X,200,6.0,POINT (-117.46996 47.59431),MODERN ELECTRIC WATER COMPANY,BEV,Y,Mid,leona.harvey@example.com,leona.harvey@example.com,female,52
82,King,Redmond,98052,2019,HYUNDAI,IONIQ,29,48.0,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,N,Low,sheryl.sims@example.com,sheryl.sims@example.com,female,52
83,King,Bellevue,98004,2021,FORD,ESCAPE,38,48.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,philippe.ma@example.com,philippe.ma@example.com,male,32
84,Kitsap,Seabeck,98380,2016,FORD,FUSION,19,35.0,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,PHEV,N,Low,aaly.slry@example.com,aaly.slry@example.com,male,47
85,King,Mercer Island,98040,2013,SMART,FORTWO ELECTRIC DRIVE,68,41.0,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,antonietta.roux@example.com,antonietta.roux@example.com,female,32
86,Thurston,Olympia,98512,2015,VOLKSWAGEN,E-GOLF,83,35.0,POINT (-122.92057 47.0031),PUGET SOUND ENERGY INC,BEV,Y,Low,arsh.hydry@example.com,arsh.hydry@example.com,male,76
87,Benton,Richland,99352,2018,NISSAN,LEAF,151,8.0,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),BEV,Y,Mid,vitali.junemann@example.com,vitali.junemann@example.com,male,50
88,King,Seattle,98178,2022,JEEP,WRANGLER,21,37.0,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,regina.lowe@example.com,regina.lowe@example.com,female,70
89,Thurston,Olympia,98501,2020,TESLA,MODEL X,289,35.0,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,BEV,Y,High,alison.jensen@example.com,alison.jensen@example.com,female,22
90,Snohomish,Lynnwood,98036,2022,JEEP,WRANGLER,21,21.0,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,PHEV,N,Low,gitta.grosch@example.com,gitta.grosch@example.com,female,58
91,King,Federal Way,98023,2021,MINI,HARDTOP,110,30.0,POINT (-122.35206 47.30297),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,graciete.caldeira@example.com,graciete.caldeira@example.com,female,52
92,King,Auburn,98092,2018,FORD,FUSION,21,31.0,POINT (-122.17663 47.32326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,cynthia.leroy@example.com,cynthia.leroy@example.com,female,54
93,Yakima,Yakima,98908,2022,BMW,X5,30,14.0,POINT (-120.56916 46.58514),PACIFICORP,PHEV,Y,Low,claire.aubert@example.com,claire.aubert@example.com,female,28
94,Thurston,Olympia,98516,2021,JEEP,WRANGLER,25,22.0,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,PHEV,N,Low,khaled.tromp@example.com,khaled.tromp@example.com,male,51
95,King,Bellevue,98007,2022,VOLVO,S60,41,48.0,POINT (-122.12053 47.61334),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,Y,Low,tim.davis@example.com,tim.davis@example.com,male,77
96,King,Renton,98059,2016,KIA,SOUL,93,5.0,POINT (-122.15771 47.50549),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,fatma.lemoine@example.com,fatma.lemoine@example.com,female,45
97,Pierce,Tacoma,98444,2018,TESLA,MODEL 3,215,29.0,POINT (-122.46495 47.16778),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,BEV,Y,Mid,ozsu.tuzun@example.com,ozsu.tuzun@example.com,female,24
98,Snohomish,Arlington,98223,2022,VOLVO,XC60,18,38.0,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,PHEV,N,Low,kathe.boden@example.com,kathe.boden@example.com,female,38
99,King,Seattle,98168,2017,TESLA,MODEL X,200,34.0,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,melike.oztonga@example.com,melike.oztonga@example.com,female,70
100,King,Seattle,98102,2019,MITSUBISHI,OUTLANDER,22,43.0,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),PHEV,N,Low,anyt.sltnynjd@example.com,anyt.sltnynjd@example.com,female,67
101,Clark,Yacolt,98675,2020,TESLA,MODEL X,289,14.0,POINT (-122.40908 45.86679),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),BEV,Y,High,sam.araya@example.com,sam.araya@example.com,male,50
102,King,Seattle,98107,2017,VOLKSWAGEN,E-GOLF,125,43.0,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,tejaswi.mathew@example.com,tejaswi.mathew@example.com,female,39
103,Snohomish,Everett,98204,2014,FORD,FUSION,19,21.0,POINT (-122.25527 47.90456),PUGET SOUND ENERGY INC,PHEV,N,Low,rafael.gutierrez@example.com,rafael.gutierrez@example.com,male,76
104,King,Medina,98039,2019,VOLVO,XC60,17,48.0,POINT (-122.23892 47.61613),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,selma.andersen@example.com,selma.andersen@example.com,female,24
105,Whatcom,Acme,98220,2016,FORD,C-MAX,19,42.0,POINT (-122.20348 48.71768),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,PHEV,N,Low,nina.popovic@example.com,nina.popovic@example.com,female,22
106,Adams,Ritzville,99169,2017,BMW,I3,97,9.0,POINT (-118.37977 47.1274),"BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||BIG BEND ELECTRIC COOP, INC",PHEV,Y,Low,andrea.murray@example.com,andrea.murray@example.com,female,49
107,King,Bellevue,98004,2017,CHEVROLET,BOLT EV,238,41.0,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,florence.soto@example.com,florence.soto@example.com,female,29
108,King,Black Diamond,98010,2019,VOLKSWAGEN,E-GOLF,125,5.0,POINT (-122.00143 47.30893),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,charlotte.jackson@example.com,charlotte.jackson@example.com,female,55
109,King,Black Diamond,98010,2019,VOLKSWAGEN,E-GOLF,125,5.0,POINT (-122.00143 47.30893),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Mid,charlotte.jackson@example.com,charlotte.jackson@example.com,female,34
110,King,Seattle,98112,2016,TESLA,MODEL S,210,37.0,POINT (-122.30716 47.62687),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),BEV,Y,Mid,ozkan.adan@example.com,ozkan.adan@example.com,male,24
111,Pierce,Puyallup,98372,2013,FIAT,500,87,25.0,POINT (-122.28556 47.18709),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),BEV,Y,Low,kuzman.trajkovic@example.com,kuzman.trajkovic@example.com,male,27
112,Pierce,Bonney Lake,98391,2020,TOYOTA,PRIUS PRIME,25,31.0,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),PHEV,N,Low,bently.chu@example.com,bently.chu@example.com,male,67
113,Mason,Tahuya,98588,2017,CHEVROLET,VOLT,53,35.0,POINT (-123.04061 47.37733),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,PHEV,Y,Low,eden.wright@example.com,eden.wright@example.com,female,68
114,Pierce,Fox Island,98333,2018,TESLA,MODEL S,249,26.0,POINT (-122.65107 47.27375),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,BEV,Y,Mid,dragoljub.vujicic@example.com,dragoljub.vujicic@example.com,male,57
